iter	RMSE
0	3649.991241
1	3615.956476
2	3582.427288
3	3549.421609
4	3516.673406
5	3484.39394
6	3452.364179
7	3420.551305
8	3389.11956
9	3358.077026
10	3327.438731
11	3297.007692
12	3266.933103
13	3237.079503
14	3207.722828
15	3178.472989
16	3149.68427
17	3120.978011
18	3093.105846
19	3065.36026
20	3037.829824
21	3010.418462
22	2983.32924
23	2956.510017
24	2930.073827
25	2904.01919
26	2878.107515
27	2852.437671
28	2827.18142
29	2801.972892
30	2777.120128
31	2752.520015
32	2728.53532
33	2704.431361
34	2680.745326
35	2657.020249
36	2633.621207
37	2610.751457
38	2588.029689
39	2565.485805
40	2543.042223
41	2521.07779
42	2499.736961
43	2478.372587
44	2456.914726
45	2435.881903
46	2415.230944
47	2394.444644
48	2374.046344
49	2353.967955
50	2334.402476
51	2314.559421
52	2295.290628
53	2276.008421
54	2256.966188
55	2238.28426
56	2219.776575
57	2201.242183
58	2183.136196
59	2165.207325
60	2147.654736
61	2130.074003
62	2112.792866
63	2095.712331
64	2078.620674
65	2061.872819
66	2045.161446
67	2028.690389
68	2012.375513
69	1996.502826
70	1980.588303
71	1965.065807
72	1949.419974
73	1934.202423
74	1919.149569
75	1904.245243
76	1889.544108
77	1874.883368
78	1860.480419
79	1846.171509
80	1831.966498
81	1817.89263
82	1803.973194
83	1790.56267
84	1777.200475
85	1763.84094
86	1750.731203
87	1737.690029
88	1724.799021
89	1712.130898
90	1699.737642
91	1687.425994
92	1675.176524
93	1663.312452
94	1651.34957
95	1639.473755
96	1627.879968
97	1616.740682
98	1605.343088
99	1594.221211
100	1583.280864
101	1572.382044
102	1561.613464
103	1550.828841
104	1540.256138
105	1529.826985
106	1519.674464
107	1509.450526
108	1499.385375
109	1489.558884
110	1479.988884
111	1470.331336
112	1460.903719
113	1451.426432
114	1442.142929
115	1432.970771
116	1424.068634
117	1415.086027
118	1406.292989
119	1397.766736
120	1389.343765
121	1380.83692
122	1372.372748
123	1364.168005
124	1356.020414
125	1348.009866
126	1340.082289
127	1332.221715
128	1324.549427
129	1316.924487
130	1309.54914
131	1302.152842
132	1294.889499
133	1287.836601
134	1280.846993
135	1273.896783
136	1266.923194
137	1260.212846
138	1253.473558
139	1246.883349
140	1240.362688
141	1234.141858
142	1227.77665
143	1221.518219
144	1215.279908
145	1209.402792
146	1203.351515
147	1197.445729
148	1191.631365
149	1185.754818
150	1180.075929
151	1174.409454
152	1168.815927
153	1163.654001
154	1158.273377
155	1153.015327
156	1147.829288
157	1142.620525
158	1137.433892
159	1132.319791
160	1127.346837
161	1122.509575
162	1117.681122
163	1112.959602
164	1108.304139
165	1103.629838
166	1099.236731
167	1094.862542
168	1090.504783
169	1086.100671
170	1081.808495
171	1077.734479
172	1073.852871
173	1069.903836
174	1065.729152
175	1061.797547
176	1057.924443
177	1054.058378
178	1050.12322
179	1046.413294
180	1042.662074
181	1038.973131
182	1035.39005
183	1031.881147
184	1028.397961
185	1025.006281
186	1021.677022
187	1018.323475
188	1014.954452
189	1011.767211
190	1008.666141
191	1005.542988
192	1002.510439
193	999.5565033
194	996.6495861
195	993.6820347
196	990.8683083
197	987.9706746
198	985.3126803
199	982.5169223
200	979.7236557
201	977.0232852
202	974.2868044
203	971.8086799
204	969.2639712
205	966.7084455
206	964.112604
207	961.4933011
208	959.0704867
209	956.6017204
210	954.1796691
211	951.9260817
212	949.7348914
213	947.5795834
214	945.3127903
215	943.2285164
216	941.0503096
217	938.8595884
218	936.9435955
219	934.924453
220	933.0921348
221	931.0696928
222	929.1661646
223	927.3535077
224	925.553517
225	923.6952397
226	921.9854568
227	920.2848219
